"departamento","arma ","fecha","genero","población"
"ANTIOQUIA","ARMA DE FUEGO","1/3/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","1/10/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","1/14/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","1/18/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","1/18/2022","MASCULINO","ADOLESCENTES"
"ANTIOQUIA","ARMA DE FUEGO","1/29/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/17/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/18/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/28/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/3/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/10/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/16/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","4/7/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","4/22/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/26/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/27/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/4/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/6/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/11/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/20/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/3/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/4/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/19/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/12/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/20/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/2/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/7/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/16/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/1/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/21/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/15/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","7/22/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/8/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/8/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/2/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/20/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","3/28/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","4/4/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/6/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","2/6/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/16/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/9/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","6/2/2022","FEMENINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","5/8/2022","MASCULINO","ADULTOS"
"ANTIOQUIA","ARMA DE FUEGO","8/13/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","8/31/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","5/2/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","4/25/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","2/21/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","6/1/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","6/6/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/4/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/6/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/7/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/8/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/8/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/19/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/25/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/29/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/30/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","2/11/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","2/24/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","3/12/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","3/25/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","3/29/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","4/20/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","6/14/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","6/15/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","6/25/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","7/1/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","7/9/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","7/22/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","7/23/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","8/11/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","1/13/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","3/6/2022","MASCULINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","7/16/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","2/5/2022","FEMENINO","ADULTOS"
"CAUCA","ARMA DE FUEGO","5/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/5/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/12/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/13/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/28/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","1/29/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/2/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/5/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/11/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/13/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/22/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/23/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","2/25/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/7/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/8/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/11/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/12/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/14/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/21/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/23/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/23/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/24/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/25/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/28/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","3/30/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","4/17/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","4/19/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","4/20/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/10/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/10/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/15/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/16/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/19/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","5/27/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/1/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/2/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/3/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/4/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/6/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/7/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/8/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/9/2022","FEMENINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/9/2022","MASCULINO","ADULTOS"
"CUNDINAMARCA","ARMA DE FUEGO","6/12/2022","FEMENINO","ADULTOS"
